Current (mA) - Plot 0,Voltage (mV) - Plot 0
0,-7.27E-05
0,-7.44E-05
-1,-0.0887038
-2,-0.176994
-3,-0.264658
-4,-0.351451
-5,-0.437196
-6,-0.521798
-7,-0.605241
-8,-0.68753
-9,-0.768762
-10,-0.849002
-11,-0.928384
-12,-1.00696
-13,-1.08471
-14,-1.16184
-15,-1.23828
-16,-1.31414
-17,-1.3893
-18,-1.46394
-19,-1.53795
-20,-1.61141
-21,-1.6842
-22,-1.75651
-23,-1.82823
-24,-1.89944
-25,-1.97001
-26,-2.04008
-27,-2.10973
-28,-2.17856
-29,-2.24698
-30,-2.31492
-31,-2.38218
-32,-2.44903
-33,-2.51555
-34,-2.58148
-35,-2.64684
-36,-2.71178
-37,-2.77612
-38,-2.84015
-39,-2.90371
-40,-2.96668
-41,-3.02919
-42,-3.09127
-43,-3.15295
-44,-3.21415
-45,-3.27493
-46,-3.33531
-47,-3.39534
-48,-3.45493
-49,-3.51416
-50,-3.57324
-51,-3.63211
-52,-3.69053
-53,-3.74841
-54,-3.80618
-55,-3.8632
-56,-3.92009
-57,-3.97664
-58,-4.03286
-59,-4.08884
-60,-4.1445
-61,-4.20021
-62,-4.25515
-63,-4.30995
-64,-4.36447
-65,-4.41886
-66,-4.47296
-67,-4.52672
-68,-4.58035
-69,-4.63367
-70,-4.68681
-71,-4.73966
-72,-4.79228
-73,-4.8447
-74,-4.89696
-75,-4.94903
-76,-5.00084
-77,-5.05246
-78,-5.10394
-79,-5.15518
-80,-5.20619
-81,-5.25706
-82,-5.3077
-83,-5.35813
-84,-5.40847
-85,-5.45849
-86,-5.50844
-87,-5.55812
-88,-5.60768
-89,-5.65708
-90,-5.70633
-91,-5.75534
-92,-5.80421
-93,-5.85299
-94,-5.90156
-95,-5.9499
-96,-5.99823
-97,-6.04631
-98,-6.09432
-99,-6.14219
-100,-6.18983
-100,-6.18984
-99,-6.14216
-98,-6.09431
-97,-6.04633
-96,-5.99817
-95,-5.94991
-94,-5.90148
-93,-5.8529
-92,-5.80416
-91,-5.75529
-90,-5.70624
-89,-5.65701
-88,-5.60762
-87,-5.55806
-86,-5.50837
-85,-5.45843
-84,-5.40844
-83,-5.35814
-82,-5.30769
-81,-5.25706
-80,-5.20617
-79,-5.15517
-78,-5.10398
-77,-5.05259
-76,-5.00095
-75,-4.94916
-74,-4.89714
-73,-4.84487
-72,-4.79244
-71,-4.73975
-70,-4.68687
-69,-4.63382
-68,-4.58045
-67,-4.52688
-66,-4.47308
-65,-4.41902
-64,-4.3647
-63,-4.31014
-62,-4.25528
-61,-4.20013
-60,-4.14477
-59,-4.08908
-58,-4.03311
-57,-3.9768
-56,-3.92026
-55,-3.86336
-54,-3.80621
-53,-3.74867
-52,-3.69078
-51,-3.63258
-50,-3.57403
-49,-3.51514
-48,-3.4559
-47,-3.39625
-46,-3.33618
-45,-3.27575
-44,-3.21494
-43,-3.1537
-42,-3.09198
-41,-3.0299
-40,-2.9673
-39,-2.90409
-38,-2.84072
-37,-2.77664
-36,-2.71213
-35,-2.64705
-34,-2.58169
-33,-2.5158
-32,-2.44943
-31,-2.38247
-30,-2.31507
-29,-2.24703
-28,-2.17851
-27,-2.10946
-26,-2.03979
-25,-1.96947
-24,-1.89874
-23,-1.82732
-22,-1.75551
-21,-1.68313
-20,-1.61027
-19,-1.53692
-18,-1.46295
-17,-1.38839
-16,-1.31318
-15,-1.23737
-14,-1.16092
-13,-1.08382
-12,-1.00614
-11,-0.927632
-10,-0.848283
-9,-0.768052
-8,-0.686845
-7,-0.604578
-6,-0.521177
-5,-0.4366
-4,-0.350891
-3,-0.264119
-2,-0.176475
-1,-0.0881993
0,0.00040252
1,0.0890034
2,0.177318
3,0.264987
4,0.351782
5,0.437531
6,0.522144
7,0.605588
8,0.687872
9,0.769109
10,0.849366
11,0.928746
12,1.00732
13,1.08522
14,1.16234
15,1.23871
16,1.31458
17,1.38981
18,1.46442
19,1.53848
20,1.61185
21,1.68469
22,1.7569
23,1.82861
24,1.90003
25,1.97068
26,2.04065
27,2.11027
28,2.17918
29,2.24769
30,2.31559
31,2.38295
32,2.4498
33,2.51614
34,2.58183
35,2.64718
36,2.7122
37,2.77649
38,2.84045
39,2.90388
40,2.96683
41,3.02938
42,3.09141
43,3.15309
44,3.21425
45,3.27502
46,3.33561
47,3.39604
48,3.45586
49,3.51518
50,3.57411
51,3.63262
52,3.69079
53,3.74863
54,3.80614
55,3.86363
56,3.9208
57,3.97728
58,4.03346
59,4.08945
60,4.14509
61,4.20044
62,4.25558
63,4.31039
64,4.36495
65,4.41926
66,4.47329
67,4.52706
68,4.58064
69,4.63391
70,4.68701
71,4.7399
72,4.79255
73,4.84541
74,4.89758
75,4.94938
76,5.00111
77,5.05274
78,5.10419
79,5.15541
80,5.20637
81,5.25717
82,5.30782
83,5.35821
84,5.40863
85,5.4588
86,5.50875
87,5.55844
88,5.608
89,5.65736
90,5.7066
91,5.75567
92,5.80451
93,5.85324
94,5.90183
95,5.95016
96,5.99851
97,6.0466
98,6.09456
99,6.14238
100,6.19007
100,6.19011
99,6.14247
98,6.09457
97,6.04667
96,5.99851
95,5.95024
94,5.90187
93,5.85329
92,5.80457
91,5.75573
90,5.70667
89,5.65749
88,5.60811
87,5.55859
86,5.50891
85,5.45901
84,5.40897
83,5.35872
82,5.30833
81,5.25771
80,5.20687
79,5.15587
78,5.10473
77,5.0533
76,5.00169
75,4.94992
74,4.8979
73,4.84569
72,4.79329
71,4.74065
70,4.6878
69,4.63476
68,4.58141
67,4.52784
66,4.47406
65,4.41999
64,4.36573
63,4.31113
62,4.25632
61,4.20121
60,4.14583
59,4.09016
58,4.03422
57,3.97793
56,3.92141
55,3.86452
54,3.80732
53,3.74985
52,3.692
51,3.63381
50,3.57527
49,3.51638
48,3.45715
47,3.3975
46,3.33748
45,3.27704
44,3.21618
43,3.15491
42,3.0933
41,3.03117
40,2.96856
39,2.90545
38,2.84193
37,2.77789
36,2.71349
35,2.64846
34,2.58306
33,2.51722
32,2.45079
31,2.38388
30,2.31642
29,2.24846
28,2.17987
27,2.11084
26,2.04109
25,1.97087
24,1.90015
23,1.82872
22,1.75687
21,1.68447
20,1.61151
19,1.53807
18,1.46402
17,1.38947
16,1.31427
15,1.23853
14,1.16208
13,1.08496
12,1.0071
11,0.92861
10,0.84926
9,0.769038
8,0.687816
7,0.605531
6,0.522125
5,0.437548
4,0.351817
3,0.265054
2,0.177403
1,0.0891219
0,0.0005204
