Current (mA) - Plot 0,Voltage (mV) - Plot 0,
0,-4.22E-05,
0,-4.27E-05,
-0.1,-0.00890848,
-0.2,-0.0177779,
-0.3,-0.026645,
-0.4,-0.0355178,
-0.5,-0.0443718,
-0.6,-0.0532398,
-0.7,-0.0620949,
-0.8,-0.0709673,
-0.9,-0.0798208,
-1,-0.0886679,
-1.1,-0.0975264,
-1.2,-0.106361,
-1.3,-0.115206,
-1.4,-0.124046,
-1.5,-0.132875,
-1.6,-0.141697,
-1.7,-0.150522,
-1.8,-0.159341,
-1.9,-0.16816,
-2,-0.176957,
-2.1,-0.185779,
-2.2,-0.194559,
-2.3,-0.203333,
-2.4,-0.21213,
-2.5,-0.220895,
-2.6,-0.229652,
-2.7,-0.238417,
-2.8,-0.24716,
-2.9,-0.255893,
-3,-0.264636,
-3.1,-0.273363,
-3.2,-0.282083,
-3.3,-0.290774,
-3.4,-0.29947,
-3.5,-0.308152,
-3.6,-0.316825,
-3.7,-0.325495,
-3.8,-0.334155,
-3.9,-0.342793,
-4,-0.351427,
-4.1,-0.360053,
-4.2,-0.368668,
-4.3,-0.377264,
-4.4,-0.385863,
-4.5,-0.394437,
-4.6,-0.403015,
-4.7,-0.411565,
-4.8,-0.420118,
-4.9,-0.428648,
-5,-0.437177,
-5.1,-0.445687,
-5.2,-0.454188,
-5.3,-0.462672,
-5.4,-0.471152,
-5.5,-0.479605,
-5.6,-0.488073,
-5.7,-0.496505,
-5.8,-0.50494,
-5.9,-0.513358,
-6,-0.521775,
-6.1,-0.530171,
-6.2,-0.53856,
-6.3,-0.54693,
-6.4,-0.555282,
-6.5,-0.563632,
-6.6,-0.571973,
-6.7,-0.580295,
-6.8,-0.588607,
-6.9,-0.596916,
-7,-0.605203,
-7.1,-0.613469,
-7.2,-0.621753,
-7.3,-0.630003,
-7.4,-0.638255,
-7.5,-0.646479,
-7.6,-0.654714,
-7.7,-0.662914,
-7.8,-0.671103,
-7.9,-0.679282,
-8,-0.687478,
-8.1,-0.695643,
-8.2,-0.703801,
-8.3,-0.711942,
-8.4,-0.720074,
-8.5,-0.728225,
-8.6,-0.736331,
