Current (mA) - Plot 0	Voltage (mV) - Plot 0
0	-3.15E-05
0	-3.48E-05
-1	0.555812
-2	1.04546
-3	1.46802
-4	1.83823
-5	2.16889
-6	2.46969
-7	2.74744
-8	3.00693
-9	3.25161
-10	3.48402
-11	3.70611
-12	3.91935
-13	4.12474
-14	4.32367
-15	4.51672
-16	4.70443
-17	4.88751
-18	5.06627
-19	5.24116
-20	5.41254
-21	5.58066
-22	5.74582
-23	5.90818
-24	6.06798
-25	6.22541
-26	6.3806
-27	6.53373
-28	6.6849
-29	6.83423
-30	6.98182
-31	7.12779
-32	7.2722
-33	7.41517
-34	7.55673
-35	7.697
-36	7.83604
-37	7.97384
-38	8.11055
-39	8.24613
-40	8.3807
-41	8.5143
-42	8.64694
-43	8.77866
-44	8.90957
-45	9.0395
-46	9.16873
-47	9.29726
-48	9.4249
-49	9.55189
-50	9.67816
-50	9.67816
-49	9.55179
-48	9.42473
-47	9.29692
-46	9.16844
-45	9.03919
-44	8.90916
-43	8.77827
-42	8.6465
-41	8.51378
-40	8.38013
-39	8.24554
-38	8.1099
-37	7.97317
-36	7.83535
-35	7.69627
-34	7.55596
-33	7.41436
-32	7.27135
-31	7.12692
-30	6.9809
-29	6.83329
-28	6.68393
-27	6.53273
-26	6.3796
-25	6.22436
-24	6.06691
-23	5.90706
-22	5.74467
-21	5.57947
-20	5.41135
-19	5.23993
-18	5.065
-17	4.88621
-16	4.70313
-15	4.51533
-14	4.32228
-13	4.1233
-12	3.91792
-11	3.70469
-10	3.48255
-9	3.25015
-8	3.00548
-7	2.74601
-6	2.46829
-5	2.16753
-4	1.83693
-3	1.46692
-2	1.04451
-1	0.555295
0	-5.72E-05
1	-0.555532
2	-1.0451
3	-1.46764
4	-1.83784
5	-2.16856
6	-2.46943
7	-2.74727
8	-3.00681
9	-3.25155
10	-3.48404
11	-3.70619
12	-3.91947
13	-4.12543
14	-4.32436
15	-4.51747
16	-4.70526
17	-4.88834
18	-5.06713
19	-5.24209
20	-5.41352
21	-5.5817
22	-5.74686
23	-5.90925
24	-6.06909
25	-6.22657
26	-6.3818
27	-6.53495
28	-6.68614
29	-6.8355
30	-6.9831
31	-7.12909
32	-7.27356
33	-7.41654
34	-7.55816
35	-7.69845
36	-7.83748
37	-7.97532
38	-8.11201
39	-8.24766
40	-8.38221
41	-8.5158
42	-8.64848
43	-8.78022
44	-8.91114
45	-9.04111
46	-9.1703
47	-9.29876
48	-9.42647
49	-9.5534
50	-9.67982
50	-9.67981
49	-9.55345
48	-9.42633
47	-9.29855
46	-9.17005
45	-9.04081
44	-8.91073
43	-8.77981
42	-8.64802
41	-8.51531
40	-8.38169
39	-8.24708
38	-8.11144
37	-7.97469
36	-7.83682
35	-7.69777
34	-7.55746
33	-7.41582
32	-7.27283
31	-7.12834
30	-6.98232
29	-6.83468
28	-6.6853
27	-6.53409
26	-6.38092
25	-6.22568
24	-6.0682
23	-5.90836
22	-5.74593
21	-5.58074
20	-5.41256
19	-5.24112
18	-5.06617
17	-4.88733
16	-4.70424
15	-4.51646
14	-4.32335
13	-4.12437
12	-3.91852
11	-3.70519
10	-3.48303
9	-3.25056
8	-3.00587
7	-2.74635
6	-2.46856
5	-2.16777
4	-1.83716
3	-1.4671
2	-1.04465
1	-0.555331
0	-2.37E-05
