Current (mA) - Plot 0	Voltage (mV) - Plot 0
0	-0.00013552
0	-0.0001353
-1	-0.556106
-2	-1.04587
-3	-1.46854
-4	-1.83882
-5	-2.16957
-6	-2.4705
-7	-2.7483
-8	-3.00783
-9	-3.25258
-10	-3.48505
-11	-3.7072
-12	-3.92049
-13	-4.12594
-14	-4.32489
-15	-4.51796
-16	-4.70573
-17	-4.88885
-18	-5.06766
-19	-5.24256
-20	-5.414
-21	-5.58213
-22	-5.74732
-23	-5.90969
-24	-6.06956
-25	-6.22698
-26	-6.38221
-27	-6.53534
-28	-6.6865
-29	-6.83585
-30	-6.98346
-31	-7.12944
-32	-7.2739
-33	-7.41687
-34	-7.55844
-35	-7.69874
-36	-7.83778
-37	-7.9756
-38	-8.11233
-39	-8.24792
-40	-8.38253
-41	-8.51611
-42	-8.64874
-43	-8.78044
-44	-8.91134
-45	-9.04136
-46	-9.17056
-47	-9.299
-48	-9.42668
-49	-9.55372
-50	-9.67993
-50	-9.67994
-49	-9.55365
-48	-9.42658
-47	-9.29883
-46	-9.17028
-45	-9.04098
-44	-8.91093
-43	-8.78
-42	-8.64826
-41	-8.51556
-40	-8.38194
-39	-8.24732
-38	-8.11163
-37	-7.97487
-36	-7.83703
-35	-7.69798
-34	-7.55764
-33	-7.41601
-32	-7.27297
-31	-7.12853
-30	-6.9825
-29	-6.83488
-28	-6.68548
-27	-6.5343
-26	-6.38112
-25	-6.22586
-24	-6.06841
-23	-5.90852
-22	-5.74611
-21	-5.58088
-20	-5.41273
-19	-5.24128
-18	-5.06634
-17	-4.88749
-16	-4.70439
-15	-4.51659
-14	-4.32346
-13	-4.12448
-12	-3.91907
-11	-3.70577
-10	-3.48361
-9	-3.25114
-8	-3.00642
-7	-2.74689
-6	-2.46914
-5	-2.1683
-4	-1.83764
-3	-1.46753
-2	-1.04498
-1	-0.555614
0	-6.15E-05
1	0.555524
2	1.0451
3	1.4676
4	1.83779
5	2.16846
6	2.46931
7	2.74711
8	3.00662
9	3.25132
10	3.48369
11	3.7058
12	3.91911
13	4.125
14	4.32389
15	4.51698
16	4.7047
17	4.88776
18	5.06654
19	5.24148
20	5.41285
21	5.581
22	5.74615
23	5.90852
24	6.06831
25	6.22576
26	6.38096
27	6.53409
28	6.68527
29	6.83459
30	6.9822
31	7.12819
32	7.27261
33	7.41558
34	7.55718
35	7.69744
36	7.83645
37	7.9743
38	8.11098
39	8.24662
40	8.38116
41	8.51477
42	8.64737
43	8.77909
44	8.91001
45	9.04002
46	9.16919
47	9.29767
48	9.42538
49	9.55239
50	9.67865
50	9.67868
49	9.55229
48	9.42525
47	9.29747
46	9.169
45	9.03971
44	8.90962
43	8.77873
42	8.64694
41	8.51426
40	8.38061
39	8.24602
38	8.11037
37	7.97367
36	7.83581
35	7.69677
34	7.55642
33	7.41484
32	7.27185
31	7.12738
30	6.98141
29	6.83379
28	6.68442
27	6.53324
26	6.38012
25	6.22489
24	6.06744
23	5.90761
22	5.74524
21	5.58005
20	5.41193
19	5.24054
18	5.0656
17	4.88682
16	4.70376
15	4.51598
14	4.32291
13	4.12396
12	3.91814
11	3.7049
10	3.48279
9	3.25039
8	3.0057
7	2.74625
6	2.46853
5	2.1678
4	1.83719
3	1.46718
2	1.04477
1	0.555427
0	-6.09E-06
