Current (mA) - Plot 0	Voltage (mV) - Plot 0
0	-0.00042731
0	-0.00043051
-1	-0.0248854
-2	-0.0487661
-3	-0.0718408
-4	-0.0940219
-5	-0.115125
-6	-0.134983
-7	-0.153649
-8	-0.170957
-9	-0.186951
-10	-0.201649
-11	-0.214957
-12	-0.227068
-13	-0.237857
-14	-0.247418
-15	-0.255864
-16	-0.263069
-17	-0.26924
-18	-0.27433
-19	-0.278329
-20	-0.281422
-21	-0.283479
-22	-0.284646
-23	-0.284802
-24	-0.284635
-25	-0.282893
-26	-0.280635
-27	-0.277558
-28	-0.273833
-29	-0.26925
-30	-0.264038
-31	-0.258136
-32	-0.251465
-33	-0.244289
-34	-0.236349
-35	-0.227829
-36	-0.218759
-37	-0.209
-38	-0.19879
-39	-0.187925
-40	-0.176503
-41	-0.164617
-42	-0.152122
-43	-0.139191
-44	-0.125726
-45	-0.111716
-46	-0.0973369
-47	-0.0824125
-48	-0.0670589
-49	-0.051299
-50	-0.0349903
-50	-0.0290331
-49	-0.0342803
-48	-0.0408232
-47	-0.0479772
-46	-0.0553716
-45	-0.0629857
-44	-0.0706022
-43	-0.0781097
-42	-0.085606
-41	-0.0928497
-40	-0.0999904
-39	-0.106856
-38	-0.113359
-37	-0.119672
-36	-0.125628
-35	-0.13124
-34	-0.136531
-33	-0.141357
-32	-0.145844
-31	-0.149892
-30	-0.153467
-29	-0.156662
-28	-0.159284
-27	-0.161473
-26	-0.163167
-25	-0.164293
-24	-0.164622
-23	-0.164745
-22	-0.164682
-21	-0.163448
-20	-0.161728
-19	-0.159469
-18	-0.156555
-17	-0.152988
-16	-0.148831
-15	-0.143977
-14	-0.138452
-13	-0.132278
-12	-0.125414
-11	-0.117906
-10	-0.109718
-9	-0.100888
-8	-0.0914558
-7	-0.0814134
-6	-0.0708529
-5	-0.0598292
-4	-0.0483835
-3	-0.0366058
-2	-0.0246024
-1	-0.0124682
0	-0.0003106
1	0.0117529
2	0.0236126
3	0.0351604
4	0.0463206
5	0.0569831
6	0.0670659
7	0.0765464
8	0.0853438
9	0.0934332
10	0.100782
11	0.107361
12	0.113199
13	0.118268
14	0.122532
15	0.126072
16	0.128819
17	0.130843
18	0.132151
19	0.132416
20	0.132467
21	0.13174
22	0.130258
23	0.128104
24	0.125275
25	0.121857
26	0.117805
27	0.11316
28	0.10794
29	0.102097
30	0.0957406
31	0.0888059
32	0.0813231
33	0.0733439
34	0.0648113
35	0.0557872
36	0.0462839
37	0.0362525
38	0.0257931
39	0.0147816
40	0.00340053
41	-0.00847193
42	-0.0208171
43	-0.0335559
44	-0.0467586
45	-0.060386
46	-0.0744051
47	-0.0888516
48	-0.10371
49	-0.118924
50	-0.13456
50	-0.138647
49	-0.130388
48	-0.121172
47	-0.111456
46	-0.101547
45	-0.0914952
44	-0.0814795
43	-0.0714941
42	-0.0616016
41	-0.0519251
40	-0.0423896
39	-0.033087
38	-0.0240617
37	-0.0152265
36	-0.00673404
35	0.00145484
34	0.00931431
33	0.0168189
32	0.0239939
31	0.0307372
30	0.0371151
29	0.0430974
28	0.0486072
27	0.0537173
26	0.0583676
25	0.0625423
24	0.0662643
23	0.0694635
22	0.0721853
21	0.0743827
20	0.0760509
19	0.0771956
18	0.0774866
17	0.0776008
16	0.0775249
15	0.0761876
14	0.0745345
13	0.0722998
12	0.0694819
11	0.0661142
10	0.0621892
9	0.0577371
8	0.0527721
7	0.0473061
6	0.0414062
5	0.0350934
4	0.0284579
3	0.0215268
2	0.014393
1	0.00709947
0	-0.00025086
